,words,sounds,sents
799,brighter,"['B', 'R', 'AY', 'T', 'ER']",0.3818
800,brightest,"['B', 'R', 'AY', 'T', 'AH', 'S', 'T']",0.6124
801,brightly,"['B', 'R', 'AY', 'T', 'L', 'IY']",0.3612
802,brightness,"['B', 'R', 'AY', 'T', 'N', 'AH', 'S']",0.3818
803,brightnesses,"['B', 'R', 'AY', 'T', 'N', 'AH', 'S', 'IH', 'Z']",0.34
804,brights,"['B', 'R', 'AY', 'T', 'S']",0.1027
805,brightwork,"['B', 'R', 'AY', 'T', 'W', 'ER', 'K']",0.2732
806,brilliance,"['B', 'R', 'IH', 'L', 'Y', 'AH', 'N', 'S']",0.5994
807,brilliances,"['B', 'R', 'IH', 'L', 'Y', 'AH', 'N', 'S', 'IH', 'Z']",0.5994
808,brilliancies,"['B', 'R', 'IH', 'L', 'Y', 'AH', 'N', 'S', 'IY', 'Z']",0.5106
809,brilliancy,"['B', 'R', 'IH', 'L', 'Y', 'AH', 'N', 'S', 'IY']",0.5574
810,brilliant,"['B', 'R', 'IH', 'L', 'Y', 'AH', 'N', 'T']",0.5859
811,brilliantine,"['B', 'R', 'IH', 'L', 'IY', 'AH', 'N', 'T', 'AY', 'N']",0.2023
812,brilliantines,"['B', 'R', 'IH', 'L', 'IY', 'AH', 'N', 'T', 'AY', 'N', 'Z']",0.4588
813,brilliantly,"['B', 'R', 'IH', 'L', 'Y', 'AH', 'N', 'T', 'L', 'IY']",0.6124
814,brilliants,"['B', 'R', 'IH', 'L', 'Y', 'AH', 'N', 'T', 'S']",0.4404
815,brisk,"['B', 'R', 'IH', 'S', 'K']",0.1531
816,broke,"['B', 'R', 'OW', 'K']",-0.4215
817,broken,"['B', 'R', 'OW', 'K', 'AH', 'N']",-0.4767
818,brooding,"['B', 'R', 'UW', 'D', 'IH', 'NG']",0.0258
819,brutal,"['B', 'R', 'UW', 'T', 'AH', 'L']",-0.6249
820,brutalise,"['B', 'R', 'UW', 'T', 'AH', 'L', 'AY', 'Z']",-0.5719
821,brutalised,"['B', 'R', 'UW', 'T', 'AH', 'L', 'IY', 'Z', 'D']",-0.5994
822,brutalises,"['B', 'R', 'UW', 'T', 'AH', 'L', 'IY', 'Z', 'IH', 'Z']",-0.6369
823,brutalising,"['B', 'R', 'UW', 'T', 'AH', 'L', 'IY', 'Z', 'IH', 'NG']",-0.5859
824,brutalities,"['B', 'R', 'UW', 'T', 'AE', 'L', 'AH', 'T', 'IY', 'Z']",-0.5574
825,brutality,"['B', 'R', 'UW', 'T', 'AE', 'L', 'AH', 'T', 'IY']",-0.6124
826,brutality,"['B', 'R', 'UW', 'T', 'AE', 'L', 'IH', 'T', 'IY']",-0.6124
827,brutalization,"['B', 'R', 'UW', 'T', 'AH', 'L', 'AH', 'Z', 'EY', 'SH', 'AH', 'N']",-0.4767
828,brutalizations,"['B', 'R', 'UW', 'T', 'AH', 'L', 'AH', 'Z', 'EY', 'SH', 'AH', 'N', 'Z']",-0.5106
829,brutalize,"['B', 'R', 'UW', 'T', 'AH', 'L', 'AY', 'Z']",-0.5994
830,brutalized,"['B', 'R', 'UW', 'T', 'AH', 'L', 'AY', 'Z', 'D']",-0.5267
831,brutalizes,"['B', 'R', 'UW', 'T', 'AH', 'L', 'AY', 'Z', 'IH', 'Z']",-0.6369
832,brutalizing,"['B', 'R', 'UW', 'T', 'AH', 'L', 'AY', 'Z', 'IH', 'NG']",-0.6597
833,brutally,"['B', 'R', 'UW', 'T', 'AH', 'L', 'IY']",-0.6124
834,bullied,"['B', 'UH', 'L', 'IY', 'D']",-0.6249
835,bullshit,"['B', 'UH', 'L', 'SH', 'IH', 'T']",-0.5859
836,bully,"['B', 'UH', 'L', 'IY']",-0.4939
837,bullying,"['B', 'UH', 'L', 'IY', 'IH', 'NG']",-0.5994
838,bummer,"['B', 'AH', 'M', 'ER']",-0.3818
839,buoyant,"['B', 'OY', 'AH', 'N', 'T']",0.2263
840,burden,"['B', 'ER', 'D', 'AH', 'N']",-0.4404
841,burdened,"['B', 'ER', 'D', 'AH', 'N', 'D']",-0.4019
842,burdener,"['B', 'ER', 'D', 'AH', 'N', 'ER']",-0.3182
843,burdeners,"['B', 'ER', 'D', 'AH', 'N', 'ER', 'Z']",-0.4019
844,burdening,"['B', 'ER', 'D', 'AH', 'N', 'IH', 'NG']",-0.34
845,burdens,"['B', 'ER', 'D', 'AH', 'N', 'Z']",-0.3612
846,burdensome,"['B', 'ER', 'D', 'AH', 'N', 'S', 'AH', 'M']",-0.4215
847,bwahaha,"['B', 'W', 'AA', 'HH', 'AH', 'HH', 'AH']",0.1027
848,bwahahah,"['B', 'W', 'AA', 'HH', 'AH', 'HH', 'AH']",0.5423
849,calm,"['K', 'AA', 'M']",0.3182
850,calm,"['K', 'AA', 'L', 'M']",0.3182
851,calmative,"['K', 'AA', 'M', 'AH', 'T', 'IH', 'V']",0.2732
852,calmatives,"['K', 'AA', 'M', 'AH', 'T', 'IH', 'V', 'Z']",0.128
853,calmed,"['K', 'AA', 'M', 'D']",0.3818
854,calmed,"['K', 'AA', 'L', 'M', 'D']",0.3818
855,calmer,"['K', 'AA', 'M', 'ER']",0.3612
856,calmer,"['K', 'AA', 'L', 'M', 'ER']",0.3612
857,calmest,"['K', 'AA', 'M', 'AH', 'S', 'T']",0.3818
858,calmest,"['K', 'AA', 'L', 'M', 'AH', 'S', 'T']",0.3818
859,calming,"['K', 'AA', 'M', 'IH', 'NG']",0.4019
860,calming,"['K', 'AA', 'L', 'M', 'IH', 'NG']",0.4019
861,calmly,"['K', 'AA', 'M', 'L', 'IY']",0.3182
862,calmly,"['K', 'AA', 'L', 'M', 'L', 'IY']",0.3182
863,calmness,"['K', 'AA', 'M', 'N', 'AH', 'S']",0.4019
864,calmness,"['K', 'AA', 'L', 'M', 'N', 'AH', 'S']",0.4019
865,calmnesses,"['K', 'AA', 'M', 'N', 'AH', 'S', 'IH', 'Z']",0.3818
866,calmodulin,"['K', 'AE', 'L', 'M', 'AH', 'D', 'Y', 'UW', 'L', 'AH', 'N']",0.0516
867,calms,"['K', 'AA', 'M', 'Z']",0.3182
868,calms,"['K', 'AA', 'L', 'M', 'Z']",0.3182
869,can't stand,"['K', 'AE', 'N', 'T', 'S', 'T', 'AE', 'N', 'D']",0.0
870,cancel,"['K', 'AE', 'N', 'S', 'AH', 'L']",-0.25
871,cancelled,"['K', 'AE', 'N', 'S', 'AH', 'L', 'D']",-0.25
872,cancelling,"['K', 'AE', 'N', 'S', 'AH', 'L', 'IH', 'NG']",-0.2023
873,cancelling,"['K', 'AE', 'N', 'S', 'L', 'IH', 'NG']",-0.2023
874,cancels,"['K', 'AE', 'N', 'S', 'AH', 'L', 'Z']",-0.2263
875,cancer,"['K', 'AE', 'N', 'S', 'ER']",-0.6597
876,capable,"['K', 'EY', 'P', 'AH', 'B', 'AH', 'L']",0.3818
877,captivated,"['K', 'AE', 'P', 'T', 'IH', 'V', 'EY', 'T', 'IH', 'D']",0.3818
878,care,"['K', 'EH', 'R']",0.4939
879,cared,"['K', 'EH', 'R', 'D']",0.4215
880,carefree,"['K', 'EH', 'R', 'F', 'R', 'IY']",0.4019
881,careful,"['K', 'EH', 'R', 'F', 'AH', 'L']",0.1531
882,carefully,"['K', 'EH', 'R', 'F', 'AH', 'L', 'IY']",0.128
883,carefulness,"['K', 'EH', 'R', 'F', 'AH', 'L', 'N', 'AH', 'S']",0.4588
884,careless,"['K', 'EH', 'R', 'L', 'EH', 'S']",-0.3612
885,carelessly,"['K', 'EH', 'R', 'L', 'EH', 'S', 'L', 'IY']",-0.25
886,carelessness,"['K', 'EH', 'R', 'L', 'EH', 'S', 'N', 'AH', 'S']",-0.34
887,carelessnesses,"['K', 'EH', 'R', 'L', 'AH', 'S', 'N', 'AH', 'S', 'IH', 'Z']",-0.3818
888,cares,"['K', 'EH', 'R', 'Z']",0.4588
889,caring,"['K', 'EH', 'R', 'IH', 'NG']",0.4939
890,casual,"['K', 'AE', 'ZH', 'AH', 'W', 'AH', 'L']",0.2023
891,casually,"['K', 'AE', 'ZH', 'AH', 'W', 'AH', 'L', 'IY']",0.1779
892,casualty,"['K', 'AE', 'ZH', 'AH', 'W', 'AH', 'L', 'T', 'IY']",-0.5267
893,casualty,"['K', 'AE', 'ZH', 'AH', 'L', 'T', 'IY']",-0.5267
894,catastrophe,"['K', 'AH', 'T', 'AE', 'S', 'T', 'R', 'AH', 'F', 'IY']",-0.6597
895,catastrophic,"['K', 'AE', 'T', 'AH', 'S', 'T', 'R', 'AA', 'F', 'IH', 'K']",-0.4939
896,cautious,"['K', 'AO', 'SH', 'AH', 'S']",-0.1027
897,celebrate,"['S', 'EH', 'L', 'AH', 'B', 'R', 'EY', 'T']",0.5719
898,celebrated,"['S', 'EH', 'L', 'AH', 'B', 'R', 'EY', 'T', 'IH', 'D']",0.5719
899,celebrates,"['S', 'EH', 'L', 'AH', 'B', 'R', 'EY', 'T', 'S']",0.5719
900,celebrating,"['S', 'EH', 'L', 'AH', 'B', 'R', 'EY', 'T', 'IH', 'NG']",0.5719
901,censor,"['S', 'EH', 'N', 'S', 'ER']",-0.4588
902,censored,"['S', 'EH', 'N', 'S', 'ER', 'D']",-0.1531
903,censors,"['S', 'EH', 'N', 'S', 'ER', 'Z']",-0.296
904,certain,"['S', 'ER', 'T', 'AH', 'N']",0.2732
905,certainly,"['S', 'ER', 'T', 'AH', 'N', 'L', 'IY']",0.34
906,certainties,"['S', 'ER', 'T', 'AH', 'N', 'T', 'IY', 'Z']",0.2263
907,certainty,"['S', 'ER', 'T', 'AH', 'N', 'T', 'IY']",0.25
908,chagrin,"['SH', 'AH', 'G', 'R', 'IH', 'N']",-0.4404
909,chagrined,"['SH', 'AH', 'G', 'R', 'IH', 'N', 'D']",-0.34
910,challenge,"['CH', 'AE', 'L', 'AH', 'N', 'JH']",0.0772
911,challenged,"['CH', 'AE', 'L', 'AH', 'N', 'JH', 'D']",-0.1027
912,challenger,"['CH', 'AE', 'L', 'AH', 'N', 'JH', 'ER']",0.128
913,challenger,"['CH', 'AE', 'L', 'IH', 'N', 'JH', 'ER']",0.128
914,challengers,"['CH', 'AE', 'L', 'AH', 'N', 'JH', 'ER', 'Z']",0.1027
915,challenges,"['CH', 'AE', 'L', 'AH', 'N', 'JH', 'IH', 'Z']",0.0772
916,challenging,"['CH', 'AE', 'L', 'AH', 'N', 'JH', 'IH', 'NG']",0.1531
917,challengingly,"['CH', 'AE', 'L', 'AH', 'N', 'JH', 'IH', 'NG', 'L', 'IY']",-0.1531
918,champ,"['CH', 'AE', 'M', 'P']",0.4767
919,champac,"['CH', 'AE', 'M', 'P', 'AH', 'K']",-0.0516
920,champagne,"['SH', 'AE', 'M', 'P', 'EY', 'N']",0.296
921,champagnes,"['SH', 'AE', 'M', 'P', 'EY', 'N', 'Z']",0.128
922,champaign,"['CH', 'AE', 'M', 'P', 'EY', 'N']",0.0516
923,champaigns,"['CH', 'AE', 'M', 'P', 'EY', 'N', 'Z']",0.128
924,champaks,"['CH', 'AE', 'M', 'P', 'AH', 'K', 'S']",-0.0516
925,champed,"['CH', 'AE', 'M', 'P', 'T']",0.25
926,champer,"['CH', 'AE', 'M', 'P', 'ER']",-0.0258
927,champers,"['CH', 'AE', 'M', 'P', 'ER', 'Z']",0.128
928,champerties,"['CH', 'AE', 'M', 'P', 'ER', 'T', 'AY', 'Z']",-0.0258
929,champertous,"['CH', 'AE', 'M', 'P', 'AH', 'R', 'T', 'AH', 'S']",0.0772
930,champerty,"['CH', 'AE', 'M', 'P', 'EH', 'R', 'T', 'IY']",-0.0516
931,champignon,"['CH', 'AE', 'M', 'P', 'IH', 'G', 'N', 'AH', 'N']",0.1027
932,champignons,"['CH', 'AE', 'M', 'P', 'IH', 'G', 'N', 'AH', 'N', 'Z']",0.0516
933,champing,"['CH', 'AE', 'M', 'P', 'IH', 'NG']",0.1779
934,champion,"['CH', 'AE', 'M', 'P', 'IY', 'AH', 'N']",0.5994
935,championed,"['CH', 'AE', 'M', 'P', 'IY', 'AH', 'N', 'D']",0.296
936,championing,"['CH', 'AE', 'M', 'P', 'IY', 'AH', 'N', 'IH', 'NG']",0.4215
937,champions,"['CH', 'AE', 'M', 'P', 'IY', 'AH', 'N', 'Z']",0.5267
938,championship,"['CH', 'AE', 'M', 'P', 'IY', 'AH', 'N', 'SH', 'IH', 'P']",0.4404
939,championships,"['CH', 'AE', 'M', 'P', 'IY', 'AH', 'N', 'SH', 'IH', 'P', 'S']",0.4939
940,champs,"['CH', 'AE', 'M', 'P', 'S']",0.4215
941,champy,"['CH', 'AE', 'M', 'P', 'IY']",0.25
942,chance,"['CH', 'AE', 'N', 'S']",0.25
943,chances,"['CH', 'AE', 'N', 'S', 'AH', 'Z']",0.2023
944,chances,"['CH', 'AE', 'N', 'S', 'IH', 'Z']",0.2023
945,chaos,"['K', 'EY', 'AA', 'S']",-0.5719
946,chaotic,"['K', 'EY', 'AA', 'T', 'IH', 'K']",-0.4939
947,charged,"['CH', 'AA', 'R', 'JH', 'D']",-0.2023
948,charges,"['CH', 'AA', 'R', 'JH', 'IH', 'Z']",-0.2732
949,charitable,"['CH', 'AE', 'R', 'AH', 'T', 'AH', 'B', 'AH', 'L']",0.4019
950,charitable,"['CH', 'EH', 'R', 'AH', 'T', 'AH', 'B', 'AH', 'L']",0.4019
951,charitableness,"['CH', 'AE', 'R', 'AH', 'T', 'AH', 'B', 'AH', 'L', 'N', 'AH', 'S']",0.4404
952,charitablenesses,"['CH', 'AE', 'R', 'AH', 'T', 'AH', 'B', 'AH', 'L', 'N', 'AH', 'S', 'IH', 'Z']",0.3818
953,charitably,"['CH', 'EH', 'R', 'IH', 'T', 'AH', 'B', 'L', 'IY']",0.34
954,charities,"['CH', 'EH', 'R', 'AH', 'T', 'IY', 'Z']",0.4939
955,charities,"['CH', 'EH', 'R', 'IH', 'T', 'IY', 'Z']",0.4939
956,charity,"['CH', 'EH', 'R', 'IH', 'T', 'IY']",0.4215
957,charm,"['CH', 'AA', 'R', 'M']",0.4019
958,charmed,"['CH', 'AA', 'R', 'M', 'D']",0.4588
959,charmer,"['CH', 'AA', 'R', 'M', 'ER']",0.4404
960,charmers,"['CH', 'AA', 'R', 'M', 'ER', 'Z']",0.4767
961,charmeuse,"['CH', 'AA', 'R', 'M', 'Y', 'UW', 'Z']",0.0772
962,charmeuses,"['CH', 'AA', 'R', 'M', 'IY', 'AH', 'Z', 'AH', 'Z']",0.1027
963,charming,"['CH', 'AA', 'R', 'M', 'IH', 'NG']",0.5859
964,charminger,"['CH', 'AA', 'R', 'M', 'IH', 'NG', 'ER']",0.3612
965,charmingest,"['CH', 'AA', 'R', 'M', 'IH', 'N', 'JH', 'EH', 'S', 'T']",0.5267
966,charmingly,"['CH', 'AA', 'R', 'M', 'IH', 'NG', 'L', 'IY']",0.4939
967,charmless,"['CH', 'AA', 'R', 'M', 'L', 'AH', 'S']",-0.4215
968,charms,"['CH', 'AA', 'R', 'M', 'Z']",0.4404
969,chastise,"['CH', 'AE', 'S', 'T', 'AY', 'Z']",-0.5423
970,chastised,"['CH', 'AE', 'S', 'T', 'AY', 'Z', 'D']",-0.4939
971,chastises,"['CH', 'AE', 'S', 'T', 'AY', 'Z', 'IH', 'Z']",-0.4019
972,chastising,"['CH', 'AE', 'S', 'T', 'AY', 'Z', 'IH', 'NG']",-0.4019
973,cheat,"['CH', 'IY', 'T']",-0.4588
974,cheated,"['CH', 'IY', 'T', 'AH', 'D']",-0.5106
975,cheated,"['CH', 'IY', 'T', 'IH', 'D']",-0.5106
976,cheater,"['CH', 'IY', 'T', 'ER']",-0.5423
977,cheaters,"['CH', 'IY', 'T', 'ER', 'Z']",-0.4404
978,cheating,"['CH', 'IY', 'T', 'IH', 'NG']",-0.5574
979,cheats,"['CH', 'IY', 'T', 'S']",-0.4215
980,cheer,"['CH', 'IH', 'R']",0.5106
981,cheered,"['CH', 'IH', 'R', 'D']",0.5106
982,cheerer,"['CH', 'IH', 'ER', 'ER']",0.4019
983,cheerers,"['CH', 'IH', 'ER', 'ER', 'Z']",0.4215
984,cheerful,"['CH', 'IH', 'R', 'F', 'AH', 'L']",0.5423
985,cheerfuller,"['CH', 'IH', 'ER', 'F', 'AH', 'L', 'ER']",0.4404
986,cheerfullest,"['CH', 'IH', 'ER', 'F', 'AH', 'L', 'AH', 'S', 'T']",0.6369
987,cheerfully,"['CH', 'IH', 'R', 'F', 'AH', 'L', 'IY']",0.4767
988,cheerfully,"['CH', 'IH', 'R', 'F', 'L', 'IY']",0.4767
989,cheerfulness,"['CH', 'IH', 'R', 'F', 'AH', 'L', 'N', 'AH', 'S']",0.4767
990,cheerier,"['CH', 'IH', 'R', 'IY', 'ER']",0.5574
991,cheeriest,"['CH', 'IH', 'R', 'IY', 'AH', 'S', 'T']",0.4939
992,cheerily,"['CH', 'IH', 'ER', 'IY', 'L', 'IY']",0.5423
993,cheeriness,"['CH', 'IH', 'ER', 'IY', 'N', 'AH', 'S']",0.5423
994,cheering,"['CH', 'IH', 'R', 'IH', 'NG']",0.5106
995,cheerio,"['CH', 'IH', 'R', 'IY', 'OW']",0.296
996,cheerlead,"['CH', 'IH', 'ER', 'L', 'IY', 'D']",0.4019
997,cheerleader,"['CH', 'IH', 'R', 'L', 'IY', 'D', 'ER']",0.2263
998,cheerleaders,"['CH', 'IH', 'R', 'L', 'IY', 'D', 'ER', 'Z']",0.296
999,cheerleading,"['CH', 'IH', 'R', 'L', 'IY', 'D', 'IH', 'NG']",0.296
1000,cheerleads,"['CH', 'IH', 'ER', 'L', 'IY', 'D', 'Z']",0.296
1001,cheerled,"['CH', 'IH', 'ER', 'L', 'EH', 'D']",0.3612
1002,cheerless,"['CH', 'IH', 'ER', 'L', 'AH', 'S']",-0.4019
1003,cheerlessly,"['CH', 'IH', 'ER', 'L', 'AH', 'S', 'L', 'IY']",-0.2023
1004,cheerlessness,"['CH', 'IH', 'ER', 'L', 'AH', 'S', 'N', 'AH', 'S']",-0.4019
1005,cheerly,"['CH', 'IH', 'ER', 'L', 'IY']",0.5267
1006,cheers,"['CH', 'IH', 'R', 'Z']",0.4767
1007,cheery,"['CH', 'IH', 'R', 'IY']",0.5574
1008,cherish,"['CH', 'EH', 'R', 'IH', 'SH']",0.3818
1009,cherishable,"['CH', 'EH', 'R', 'IH', 'SH', 'AH', 'B', 'AH', 'L']",0.4588
1010,cherished,"['CH', 'EH', 'R', 'IH', 'SH', 'T']",0.5106
1011,cherisher,"['CH', 'EH', 'R', 'IH', 'SH', 'ER']",0.4939
1012,cherishers,"['CH', 'EH', 'R', 'IH', 'SH', 'ER', 'Z']",0.4404
1013,cherishes,"['CH', 'EH', 'R', 'IH', 'SH', 'IH', 'Z']",0.4939
1014,cherishing,"['CH', 'EH', 'R', 'IH', 'SH', 'IH', 'NG']",0.4588
1015,chic,"['SH', 'IY', 'K']",0.2732
1016,childish,"['CH', 'AY', 'L', 'D', 'IH', 'SH']",-0.296
1017,chilling,"['CH', 'IH', 'L', 'IH', 'NG']",-0.0258
1018,choke,"['CH', 'OW', 'K']",-0.5423
1019,choked,"['CH', 'OW', 'K', 'T']",-0.4767
1020,chokes,"['CH', 'OW', 'K', 'S']",-0.4588
1021,choking,"['CH', 'OW', 'K', 'IH', 'NG']",-0.4588
1022,chuckle,"['CH', 'AH', 'K', 'AH', 'L']",0.4019
1023,chuckled,"['CH', 'AH', 'K', 'AH', 'L', 'D']",0.296
1024,chucklehead,"['CH', 'AH', 'K', 'AH', 'L', 'HH', 'EH', 'D']",-0.4404
1025,chuckleheaded,"['CH', 'AH', 'K', 'AH', 'L', 'HH', 'EH', 'D', 'IH', 'D']",-0.3182
1026,chuckleheads,"['CH', 'AH', 'K', 'AH', 'L', 'HH', 'EH', 'D', 'Z']",-0.2732
1027,chuckler,"['CH', 'AH', 'K', 'AH', 'L', 'ER']",0.2023
1028,chucklers,"['CH', 'AH', 'K', 'AH', 'L', 'ER', 'Z']",0.296
1029,chuckles,"['CH', 'AH', 'K', 'AH', 'L', 'Z']",0.2732
1030,chucklesome,"['CH', 'AH', 'K', 'AH', 'L', 'S', 'AH', 'M']",0.2732
1031,chuckling,"['CH', 'AH', 'K', 'L', 'IH', 'NG']",0.34
1032,chucklingly,"['CH', 'AH', 'K', 'AH', 'L', 'IH', 'NG', 'L', 'IY']",0.296
1033,clarifies,"['K', 'L', 'EH', 'R', 'AH', 'F', 'AY', 'Z']",0.2263
1034,clarity,"['K', 'L', 'EH', 'R', 'AH', 'T', 'IY']",0.4019
1035,clarity,"['K', 'L', 'EH', 'R', 'IH', 'T', 'IY']",0.4019
1036,classy,"['K', 'L', 'AE', 'S', 'IY']",0.4404
1037,clean,"['K', 'L', 'IY', 'N']",0.4019
1038,cleaner,"['K', 'L', 'IY', 'N', 'ER']",0.1779
1039,clear,"['K', 'L', 'IH', 'R']",0.3818
1040,cleared,"['K', 'L', 'IH', 'R', 'D']",0.1027
1041,clearly,"['K', 'L', 'IH', 'R', 'L', 'IY']",0.4019
1042,clears,"['K', 'L', 'IH', 'R', 'Z']",0.0772
1043,clever,"['K', 'L', 'EH', 'V', 'ER']",0.4588
1044,cleverer,"['K', 'L', 'EH', 'V', 'ER', 'ER']",0.4588
1045,cleverest,"['K', 'L', 'EH', 'V', 'ER', 'AH', 'S', 'T']",0.5574
1046,cleverish,"['K', 'L', 'EH', 'V', 'ER', 'IH', 'SH']",0.25
1047,cleverly,"['K', 'L', 'EH', 'V', 'ER', 'L', 'IY']",0.5106
1048,cleverness,"['K', 'L', 'EH', 'V', 'ER', 'N', 'AH', 'S']",0.5106
1049,clevernesses,"['K', 'L', 'EH', 'V', 'ER', 'N', 'AH', 'S', 'IH', 'Z']",0.34
1050,clouded,"['K', 'L', 'AW', 'D', 'IH', 'D']",-0.0516
1051,clueless,"['K', 'L', 'UW', 'L', 'AH', 'S']",-0.3612
1052,cock,"['K', 'AA', 'K']",-0.1531
1053,cocksucker,"['K', 'AA', 'K', 'S', 'AH', 'K', 'ER']",-0.6249
1054,cocksucker,"['K', 'AA', 'K', 'S', 'AH', 'K', 'ER', 'Z']",-0.6249
1055,cocksuckers,"['K', 'AA', 'K', 'S', 'AH', 'K', 'ER', 'Z']",-0.5574
1056,cocky,"['K', 'AA', 'K', 'IY']",-0.128
1057,coerced,"['K', 'OW', 'ER', 'S', 'T']",-0.3612
1058,collapse,"['K', 'AH', 'L', 'AE', 'P', 'S']",-0.4939
1059,collapsed,"['K', 'AH', 'L', 'AE', 'P', 'S', 'T']",-0.2732
1060,collapses,"['K', 'AH', 'L', 'AE', 'P', 'S', 'IH', 'Z']",-0.296
1061,collapsing,"['K', 'AH', 'L', 'AE', 'P', 'S', 'IH', 'NG']",-0.296
1062,collide,"['K', 'AH', 'L', 'AY', 'D']",-0.0772
1063,collides,"['K', 'AH', 'L', 'AY', 'D', 'Z']",-0.2732
1064,colliding,"['K', 'AH', 'L', 'AY', 'D', 'IH', 'NG']",-0.128
1065,collision,"['K', 'AH', 'L', 'IH', 'ZH', 'AH', 'N']",-0.3612
1066,collisions,"['K', 'AH', 'L', 'IH', 'ZH', 'AH', 'N', 'Z']",-0.2732
1067,colluding,"['K', 'AH', 'L', 'UW', 'D', 'IH', 'NG']",-0.296
1068,combat,"['K', 'AA', 'M', 'B', 'AE', 'T']",-0.34
1069,combat,"['K', 'AH', 'M', 'B', 'AE', 'T']",-0.34
1070,combats,"['K', 'AH', 'M', 'B', 'AE', 'T', 'S']",-0.2023
1071,comedian,"['K', 'AH', 'M', 'IY', 'D', 'IY', 'AH', 'N']",0.3818
1072,comedians,"['K', 'AH', 'M', 'IY', 'D', 'IY', 'AH', 'N', 'Z']",0.296
1073,comedic,"['K', 'AH', 'M', 'IY', 'D', 'IH', 'K']",0.4019
1074,comedically,"['K', 'OW', 'M', 'EH', 'D', 'IH', 'K', 'AH', 'L', 'IY']",0.4767
1075,comedienne,"['K', 'AH', 'M', 'IY', 'D', 'IY', 'EH', 'N']",0.1531
1076,comediennes,"['K', 'AA', 'M', 'AH', 'D', 'IY', 'N', 'Z']",0.3818
1077,comedies,"['K', 'AA', 'M', 'AH', 'D', 'IY', 'Z']",0.4019
1078,comedo,"['K', 'AH', 'M', 'D', 'UW']",0.0772
1079,comedones,"['K', 'AH', 'M', 'D', 'AH', 'N', 'Z']",-0.2023
1080,comedown,"['K', 'AH', 'M', 'D', 'AW', 'N']",-0.2023
1081,comedowns,"['K', 'AH', 'M', 'D', 'AW', 'N', 'Z']",-0.2263
1082,comedy,"['K', 'AA', 'M', 'AH', 'D', 'IY']",0.3612
1083,comfort,"['K', 'AH', 'M', 'F', 'ER', 'T']",0.3612
1084,comfortable,"['K', 'AH', 'M', 'F', 'ER', 'T', 'AH', 'B', 'AH', 'L']",0.5106
1085,comfortableness,"['K', 'AH', 'M', 'F', 'ER', 'T', 'AH', 'B', 'AH', 'L', 'N', 'AH', 'S']",0.3182
1086,comfortably,"['K', 'AH', 'M', 'F', 'ER', 'T', 'AH', 'B', 'L', 'IY']",0.4215
1087,comforted,"['K', 'AH', 'M', 'F', 'ER', 'T', 'IH', 'D']",0.4215
1088,comforter,"['K', 'AH', 'M', 'F', 'ER', 'T', 'ER']",0.4404
1089,comforters,"['K', 'AH', 'M', 'F', 'ER', 'T', 'ER', 'Z']",0.296
1090,comforting,"['K', 'AH', 'M', 'F', 'ER', 'T', 'IH', 'NG']",0.4019
1091,comfortingly,"['K', 'AH', 'M', 'F', 'ER', 'T', 'IH', 'NG', 'L', 'IY']",0.4019
1092,comfortless,"['K', 'AH', 'M', 'F', 'ER', 'T', 'L', 'AH', 'S']",-0.4215
1093,comforts,"['K', 'AH', 'M', 'F', 'ER', 'T', 'S']",0.4767
1094,commend,"['K', 'AH', 'M', 'EH', 'N', 'D']",0.4404
1095,commended,"['K', 'AH', 'M', 'EH', 'N', 'D', 'IH', 'D']",0.4404
1096,commit,"['K', 'AH', 'M', 'IH', 'T']",0.296
1097,commitment,"['K', 'AH', 'M', 'IH', 'T', 'M', 'AH', 'N', 'T']",0.3818
1098,commitments,"['K', 'AH', 'M', 'IH', 'T', 'M', 'AH', 'N', 'T', 'S']",0.128
1099,commits,"['K', 'AH', 'M', 'IH', 'T', 'S']",0.0258
1100,committed,"['K', 'AH', 'M', 'IH', 'T', 'IH', 'D']",0.2732
1101,committing,"['K', 'AH', 'M', 'IH', 'T', 'IH', 'NG']",0.0772
1102,compassion,"['K', 'AH', 'M', 'P', 'AE', 'SH', 'AH', 'N']",0.4588
1103,compassionate,"['K', 'AH', 'M', 'P', 'AE', 'SH', 'AH', 'N', 'AH', 'T']",0.4939
1104,compassionated,"['K', 'AH', 'M', 'P', 'AE', 'SH', 'AH', 'N', 'EY', 'T', 'IH', 'D']",0.3818
1105,compassionately,"['K', 'AH', 'M', 'P', 'AE', 'SH', 'AH', 'N', 'AH', 'T', 'L', 'IY']",0.4019
1106,compassionateness,"['K', 'AH', 'M', 'P', 'AE', 'SH', 'AH', 'N', 'AH', 'T', 'N', 'AH', 'S']",0.2263
1107,compassionates,"['K', 'AH', 'M', 'P', 'AE', 'SH', 'AH', 'N', 'AH', 'T', 'S']",0.3818
1108,compassionating,"['K', 'AH', 'M', 'P', 'AE', 'SH', 'AH', 'N', 'EY', 'T', 'IH', 'NG']",0.3818
1109,compassionless,"['K', 'AH', 'M', 'P', 'AE', 'SH', 'AH', 'N', 'L', 'AH', 'S']",-0.5574
1110,compelled,"['K', 'AH', 'M', 'P', 'EH', 'L', 'D']",0.0516
1111,compelling,"['K', 'AH', 'M', 'P', 'EH', 'L', 'IH', 'NG']",0.2263
1112,competent,"['K', 'AA', 'M', 'P', 'AH', 'T', 'IH', 'N', 'T']",0.3182
