ONCE	W AH N S
OUT	AW T
MY	M AY
HEART	HH AA R T
AND	AH N D
AND(2)	AE N D
TAKE	T EY K
THY	DH AY
FORM	F AO R M
FROM	F R AH M
OFF	AO F
MY	M AY
DOOR	D AO R
QUOTH	K W OW TH
THE	DH AH
THE(2)	DH IY
RAVEN	R EY V AH N
NEVERMORE	N EH V ER M AO R
AND	AH N D
AND(2)	AE N D
THE	DH AH
THE(2)	DH IY
RAVEN	R EY V AH N
NEVER	N EH V ER
FLITTING	F L IH T IH NG
STILL	S T IH L
IS	IH Z
SITTING	S IH T IH NG
STILL	S T IH L
IS	IH Z
SITTING	S IH T IH NG
ON	AA N
ON(2)	AO N
THE	DH AH
THE(2)	DH IY
PALLID	P AE L AH D
BUST	B AH S T
OF	AH V
PALLAS	P AE L AH S
JUST	JH AH S T
JUST(2)	JH IH S T
ABOVE	AH B AH V
MY	M AY
CHAMBER	CH EY M B ER
DOOR	D AO R
AND	AH N D
AND(2)	AE N D
HIS	HH IH Z
EYES	AY Z
HAVE	HH AE V
ALL	AO L
THE	DH AH
THE(2)	DH IY
SEEMING	S IY M IH NG
OF	AH V
A	AH
A(2)	EY
DEMONS	D IY M AH N Z
THAT	DH AE T
THAT(2)	DH AH T
IS	IH Z
DREAMING	D R IY M IH NG
AND	AH N D
AND(2)	AE N D
THE	DH AH
THE(2)	DH IY
LAMPLIGHT	L AE M P L AY T
OER	OW AH R
HIM	HH IH M
HIM(2)	IH M
STREAMING	S T R IY M IH NG
THROWS	TH R OW Z
HIS	HH IH Z
SHADOW	SH AE D OW
ON	AA N
ON(2)	AO N
THE	DH AH
THE(2)	DH IY
FLOOR	F L AO R
AND	AH N D
AND(2)	AE N D
MY	M AY
SOUL	S OW L
FROM	F R AH M
OUT	AW T
THAT	DH AE T
THAT(2)	DH AH T
SHADOW	SH AE D OW
THAT	DH AE T
THAT(2)	DH AH T
LIES	L AY Z
FLOATING	F L OW T IH NG
ON	AA N
ON(2)	AO N
THE	DH AH
THE(2)	DH IY
FLOOR	F L AO R
SHALL	SH AE L
BE	B IY
LIFTEDNEVERMORE	L IH F T EH D N AH V AH R M AH R
